Log file, Tree id within the log, Nr of nodes, Depth, Avg. depth
dispatch-serv4_reqs3_dpu_alt0.txt,  0x2aff9d1bb6d0,  3990,  29,  24.20
dispatch-serv4_reqs3_dpu_alt0.txt,  0x2aff9d1bb710,  526,  7,  2.78
dispatch-serv4_reqs3_dpu_alt0.txt,  0x2aff9d1bb738,  556,  7,  2.44
dispatch-serv4_reqs3_dpu_alt0.txt,  0x2aff9d1bb760,  556,  7,  2.44
dispatch-serv4_reqs3_dpu_alt0.txt,  0x2aff9d1bb788,  1040,  7,  2.76
dispatch-serv4_reqs3_dpu_alt0.txt,  t0,  4776,  23,  20.09
dispatch-serv4_reqs3_dpu_alt0.txt,  t1,  238,  3,  1.99
dispatch-serv4_reqs3_dpu_alt0.txt,  t2,  262,  3,  1.99
dispatch-serv4_reqs3_dpu_alt0.txt,  t3,  262,  3,  1.99
dispatch-serv4_reqs3_dpu_alt0.txt,  t4,  469,  3,  2.00
dispatch-serv4_reqs3_dpu_alt0.txt,  t5,  3570,  29,  24.47
dispatch-serv4_reqs4_dpu_alt0.txt,  0x2b3469b636d0,  35378,  39,  34.09
dispatch-serv4_reqs4_dpu_alt0.txt,  0x2b3469b63710,  4338,  9,  3.17
dispatch-serv4_reqs4_dpu_alt0.txt,  0x2b3469b63738,  4604,  9,  2.81
dispatch-serv4_reqs4_dpu_alt0.txt,  0x2b3469b63760,  4604,  9,  2.81
dispatch-serv4_reqs4_dpu_alt0.txt,  0x2b3469b63788,  8288,  9,  3.47
dispatch-serv4_reqs4_dpu_alt0.txt,  t0,  40452,  29,  26.01
dispatch-serv4_reqs4_dpu_alt0.txt,  t1,  1858,  3,  2.00
dispatch-serv4_reqs4_dpu_alt0.txt,  t2,  2059,  3,  2.00
dispatch-serv4_reqs4_dpu_alt0.txt,  t3,  2059,  3,  2.00
dispatch-serv4_reqs4_dpu_alt0.txt,  t4,  3427,  3,  2.00
dispatch-serv4_reqs4_dpu_alt0.txt,  t5,  31654,  39,  34.36
