Log file, Tree id within the log, Nr of nodes, Depth, Avg. depth
poke-threads10_iters3_dpu_alt0.txt,  t1,  7,  3,  1.71
poke-threads11_iters3_dpu_alt0.txt,  t1,  7,  3,  1.71
poke-threads12_iters3_dpu_alt0.txt,  t1,  7,  3,  1.71
poke-threads13_iters3_dpu_alt0.txt,  t1,  7,  3,  1.71
dispatch-serv4_reqs3_dpu_alt0.txt,  t1,  238,  3,  1.99
dispatch-serv4_reqs3_dpu_alt0.txt,  t2,  262,  3,  1.99
dispatch-serv4_reqs3_dpu_alt0.txt,  t3,  262,  3,  1.99
mpat-k4_dpu_alt0.txt,  t1,  241,  3,  1.99
mpat-k4_dpu_alt0.txt,  t3,  241,  3,  1.99
mpat-k4_dpu_alt0.txt,  t5,  241,  3,  1.99
mpat-k4_dpu_alt0.txt,  t7,  241,  3,  1.99
dispatch-serv4_reqs3_dpu_alt0.txt,  t4,  469,  3,  2.00
dispatch-serv4_reqs4_dpu_alt0.txt,  t1,  1858,  3,  2.00
dispatch-serv4_reqs4_dpu_alt0.txt,  t2,  2059,  3,  2.00
dispatch-serv4_reqs4_dpu_alt0.txt,  t3,  2059,  3,  2.00
dispatch-serv4_reqs4_dpu_alt0.txt,  t4,  3427,  3,  2.00
dispatch-serv4_reqs5_dpu_alt0.txt,  t1,  14038,  3,  2.00
dispatch-serv4_reqs5_dpu_alt0.txt,  t2,  15469,  3,  2.00
dispatch-serv4_reqs5_dpu_alt0.txt,  t3,  15469,  3,  2.00
dispatch-serv4_reqs5_dpu_alt0.txt,  t4,  24127,  3,  2.00
mpat-k5_dpu_alt0.txt,  t1,  1903,  3,  2.00
mpat-k5_dpu_alt0.txt,  t3,  1903,  3,  2.00
mpat-k5_dpu_alt0.txt,  t5,  1903,  3,  2.00
mpat-k5_dpu_alt0.txt,  t7,  1903,  3,  2.00
mpat-k5_dpu_alt0.txt,  t9,  1903,  3,  2.00
mpat-k6_dpu_alt0.txt,  t11,  18997,  3,  2.00
